name,profits,marketValue,revenue,industry
Kuwait Projects,176.2,2683,1867,Investment Services
Kweichow Moutai,2520.1,47864,4892,Beverages
Kyocera,837.6,18720,12541,Electronics
Kyushu Electric Power,130.6,4780,15362,Electric Utilities
Kyushu Financial Group,812.3,2640,,Regional Banks
L Brands,1252,22030,12154,Apparel/Footwear Retail
L'Oréal Group,3656.6,102872,28008,Household/Personal Care
L-3 Communications,-240,9615,11194,Aerospace & Defense
LARGAN Precision,760.7,9300,1759,
LG Chem,1018.7,17758,17853,Specialized Chemicals
LG Corp,834.2,10763,8171,Household Appliances
LG Display,854,8107,25078,Electronics
LG Electronics,109.9,8827,49928,Consumer Electronics
LG Household & Health Care,406.7,13697,4708,Household/Personal Care
LG International,-208,1248,11684,Trading Companies
LG Uplus,310.5,4144,9538,Telecommunications services
LIG Insurance,178.5,1631,7950,Property & Casualty Insurance
LKQ,423.2,10187,7193,Auto & Truck Parts
LabCorp,436.1,12432,8680,Healthcare Services
LafargeHolcim,-1525.6,30263,24552,Construction Materials
Lam Research,786.4,12814,5827,Semiconductors
Land Securities Group,3233.3,12238,1272,Real Estate
Larsen & Toubro,733.4,17690,15123,Construction Services
Las Vegas Sands,1774.5,37247,11393,Casinos & Gaming
Latam Airlines,-219.5,3856,9718,Airline
Latour Investment,488,6683,935,
Laurentian Bank,84.3,1217,1132,Regional Banks
Lazard,986.4,4868,2437,
Lear,745.5,8274,18209,Auto & Truck Parts
Legal & General Group,1642.4,20971,19189,Life & Health Insurance
Legend Holding,747,5934,49268,Computer Hardware
Legrand,610.6,15133,5334,Electrical Equipment
Lend Lease Group,492.9,5606,11078,Real Estate
Lennar,825.1,10162,9820,Construction Services
Lenovo Group,-208.2,9066,47113,Computer Hardware
Leshi Internet Information & Technology Corp. Beijing,93.1,16808,2424,
Leucadia National,270.4,6163,11105,Conglomerates
Level 3 Communications,3433,19182,8229,Telecommunications services
Li & Fung,421,5403,18831,Trading Companies
Liberbank,135.3,1174,1253,Regional Banks
Liberty Global,-1152.5,31440,18280,Broadcasting & Cable
Liberty Interactive,869,12990,9989,Internet & Catalog Retail
Lincoln National,1154,10598,14002,Life & Health Insurance
Linde,1274.2,28310,19898,Diversified Chemicals
Lindt & Sprungli,395,16325,3794,Food Processing
Linear Technology,494.7,11101,1430,Semiconductors
Link REIT,2348.1,13939,1045,Real Estate
LinkedIn,-159.2,15778,2993,Computer Services
Lixil Group,-53.9,6805,14949,Construction Materials
Lloyds Banking Group,773.1,70027,46198,Major Banks
Lockheed Martin,3605,69294,46132,Aerospace & Defense
Loews,260,13513,13443,Diversified Insurance
London Stock Exchange,501.6,13658,2171,Investment Services
Longfor Properties,1428.3,8350,7584,Real Estate
Lotte Chemical,876.9,9210,10349,Specialized Chemicals
Lotte Shopping,-348.3,7288,25736,Department Stores
Lowe's,2535,68250,59073,Home Improvement Retail
LukOil,4803.3,36810,90441,Oil & Gas Operations
Lundbergs,518.8,6652,2689,Real Estate
Lupin,393.2,10552,1973,Pharmaceuticals
Luxottica Group,891.7,26049,9799,Specialty Stores
Luzerner Kantonalbank,187.1,3566,662,Regional Banks
LyondellBasell Industries,4468,38491,32738,Diversified Chemicals
M&T Bank,1128.3,18946,5136,Regional Banks
MAp,394.9,11318,917,Other Transportation
MGIC Investment,1108.1,2507,1029,Diversified Insurance
MGM Resorts,-447.7,12529,9190,Casinos & Gaming
MISC,631.2,10145,2790,Other Transportation
MMI Holdings,237.9,2628,5298,Life & Health Insurance
MOL Hungarian Oil,-982.8,6264,14683,Oil & Gas Operations
MS&AD Insurance,828.1,17635,39397,Property & Casualty Insurance
MTN Group,1580.9,18853,11507,Telecommunications services
MTR,1676.1,29068,5379,Railroads
Macerich,85.7,11470,1272,Real Estate
Macquarie Group,1468.1,17629,11197,Investment Services
Macy's,1072,12770,27079,Department Stores
Magna International,1968.6,17319,32674,Auto & Truck Parts
Magnit,972.7,14578,15564,Food Retail
Mahindra & Mahindra,424.5,12348,10448,Auto & Truck Manufacturers
Makita,342.6,8694,3533,Household/Personal Care
Mallinckrodt,342.9,7451,3672,
Manila Electric,419.4,8142,5675,Electric Utilities
Manpower,425.2,5852,19375,Business & Personal Services
Manulife Financial,1712.6,29277,25047,Life & Health Insurance
Mapfre,786,8152,22572,Diversified Insurance
Marathon Oil,-2204,12157,5431,Oil & Gas Operations
Marathon Petroleum,2848,21942,64461,Oil & Gas Operations
Markel,586.9,12576,5415,Diversified Insurance
Marks & Spencer,665.5,9993,15997,Department Stores
Marriott International,859,16909,14480,Hotels & Motels
Marsh & McLennan,1602,32423,12931,Insurance Brokers
Martin Marietta Materials,287.5,10831,3540,Construction Materials
Marubeni,1241.7,9491,61693,Trading Companies
Masco,350,10809,7501,Construction Materials
Mashreq Bank,654,3963,2280,Regional Banks
Masraf Al Rayan,576.7,7168,696,Regional Banks
MasterCard,3808,108216,9667,Consumer Financial Services
Mattel,352.8,10897,5649,Recreational Products
Maxis,456.1,11424,2122,Telecommunications services
Maybank,1748.5,22679,7622,Regional Banks
Mazda Motor,1245.6,9742,27986,Auto & Truck Manufacturers
McCormick,424.5,11647,4316,Food Processing
McDonald's,4816.4,110148,25358,Restaurants
McGraw-Hill,1155,27443,5314,Printing & Publishing
McKesson,1959,40746,189131,Pharmaceuticals
Mead Johnson Nutrition,652,15660,4071,Household/Personal Care
Mediatek,817.5,11132,6716,Semiconductors
Mediobanca,721.1,7022,3261,Regional Banks
Medipal Holdings,235,4080,24741,Pharmaceuticals
Medtronic,2434,110668,28570,Medical Equipment & Supplies
Mega Financial Holding,926.4,9703,2625,Investment Services
MegaFon,636.9,6666,5112,Telecommunications services
Meiji Holdings,433.9,12075,9968,Food Processing
Mercantil Servicios,1113,1691,9352,Regional Banks
Merck,4442,157153,38969,Pharmaceuticals
Merck,1236.2,40011,14244,Pharmaceuticals
Mercuries & Associates,46.4,378,5347,Department Stores
Meritz Financial Group,180.1,1549,7008,
MetLife,5268,51434,68017,Diversified Insurance
Metallurgical Corp of China,762.5,11028,33646,Construction Services
Metalurgica Gerdau,-697.2,741,13047,Iron & Steel
Metro,415.6,7953,9543,Food Retail
Metro Group,22.2,10845,66164,Department Stores
Metropolitan Bank & Trust,397.9,5753,1844,Regional Banks
Mettler-Toledo International,352.8,9826,2395,
Michael Kors Holdings,844.7,9259,4594,Apparel/Accessories
Michelin Group,1286.3,19561,23508,Auto & Truck Parts
Microchip Technology,356.2,10626,2159,Semiconductors
Micron Technology,1071,11055,13737,Semiconductors
Microsoft,10179,407015,86596,Software & Programming
Midea Group,2021.7,20240,22026,Household Appliances
Migdal Insurance,90.6,754,3857,
Millicom International,-559,5994,6730,Telecommunications services
Minato Bank,63.1,603,516,Regional Banks
Mitsubishi Chemical,139.2,8103,31630,Diversified Chemicals
Mitsubishi Corp,2686.5,27689,59815,Trading Companies
Mitsubishi Electric,1998,23630,36603,Electrical Equipment
Mitsubishi Estate,455.7,28447,9038,Real Estate
Mitsubishi Heavy Industries,765.1,13038,34208,Heavy Equipment
Mitsubishi Materials,598.3,4372,11904,Diversified Metals & Mining
Mitsubishi Motors,795.7,4446,18619,Auto & Truck Manufacturers
Mitsubishi UFJ Financial,7921.9,73516,44244,Regional Banks
Mitsubishi UFJ Lease,456.9,4163,6670,Rental & Leasing
Mitsui,1540.6,22520,40574,Trading Companies
Mitsui Chemicals,263,3519,11702,Specialized Chemicals
Mitsui Fudosan,1029.9,26291,13207,Real Estate
Mitsui OSK Lines,254.1,3004,14780,Other Transportation
Mizrahi Tefahot Bank,290.9,2710,1730,Regional Banks
Mizuho Financial,5023.8,40691,25953,Major Banks
Mohawk Industries,615.1,14536,8072,Furniture & Fixtures
Molina Healthcare,143.4,3681,14073,Managed Health Care
Molson Coors Brewing,359.5,20585,3568,Beverages
Mondelēz International,7267,65695,29636,Food Processing
Mondi,665.3,8985,7564,Paper & Paper Products
Monsanto,1456,41098,13678,Specialized Chemicals
Monster Beverage,546.7,24957,2723,Beverages
Moody's,941.3,19251,3484,Business & Personal Services
Morgan Stanley,4865,53683,32130,Investment Services
Mosaic,1000.4,9993,8895,Specialized Chemicals
Moscow Exchange,455.3,3707,752,
Motorola Solutions,608,13199,5695,Communications Equipment
Munich Re,3446.5,34142,63517,Diversified Insurance
Murata Manufacturing,1756.4,28962,10039,Electronics
Murphy USA,176.3,2380,12790,Specialty Stores
Musashino Bank,118.2,918,592,Regional Banks
Mylan,847.6,23695,9460,Pharmaceuticals
Møller-Maersk,735.5,30656,40286,Other Transportation
NASDAQ OMX Group,428,10487,3401,Investment Services
NEC,288.1,6597,23810,Electronics
NEXON,455.4,6762,1572,Computer Services
NH Investment & Securities,190,2560,1388,Investment Services
NII Holdings,1107.6,557,1714,Telecommunications services
NKSJ Holdings,820.2,11930,26747,Property & Casualty Insurance
NMDC,1038,5950,2019,Diversified Metals & Mining
NN Group,1736.6,11492,15289,Life & Health Insurance
NRG Energy,-6382,4486,15013,Electric Utilities
NSK,565.9,5157,8247,Other Industrial Equipment
NTPC,1633.3,17740,13300,Electric Utilities
NVIDIA,613,19751,5010,Semiconductors
"NVR,",382.9,6596,5155,Construction Services
NXP Semiconductors,1526,29199,6101,Semiconductors
Nan Ya Plastics,1124.9,15956,9442,Diversified Chemicals
Nanto Bank,74.8,789,615,Regional Banks
Naspers,1087.3,59999,6363,Broadcasting & Cable
National Australia Bank,4962.4,56482,28785,Major Banks
National Bank of Abu Dhabi,1369.6,12751,3672,Regional Banks
National Bank of Canada,1073.1,12020,5841,Regional Banks
National Bank of Greece,-4685.2,3043,5905,Regional Banks
National Bank of Kuwait,854.9,11563,2864,Regional Banks
National Commercial Bank,2430.1,22445,5307,Regional Banks
National Grid,3332.6,51444,24232,Electric Utilities
National Oilwell Varco,-769,11037,14738,Oil Services & Equipment
Natixis,1490.4,17175,14420,Major Banks
Naver,458.3,19013,2873,Computer Services
Navient,886,4526,5295,Regional Banks
Nelnet,265.1,1769,1222,Consumer Financial Services
Neptune Orient Lines,683.7,2474,5375,Other Transportation
Neste Oil,618.8,8421,12343,Oil & Gas Operations
Nestle,9415.5,235701,92208,Food Processing
NetApp,371.9,7007,5706,Computer Storage Devices
Netease,1068.5,17509,3614,Computer Services
Netflix,126.6,41073,7164,Internet & Catalog Retail
New China Life Insurance,1378.9,16241,25164,Life & Health Insurance
New Hope Liuhe,357,5055,10545,Food Processing
New World Development,2135.7,9414,8002,Real Estate
New York Community,-39,7427,1890,Thrifts & Mortgage Finance
Newcrest Mining,343.8,10600,3356,Diversified Metals & Mining
Newell Rubbermaid,254.4,21819,5916,Household/Personal Care
Newmont Mining,89,16568,7789,Diversified Metals & Mining
News Corp,-117,7529,8378,Broadcasting & Cable
Next,1014.5,10815,6355,Department Stores
NextEra Energy,2752,52806,15931,Electric Utilities
NiSource,286.5,7136,5234,Natural Gas Utilities
Nidec,739.5,21061,9664,Electrical Equipment
Nielsen,607,18789,6201,Printing & Publishing
Nike,3779,100108,32007,Apparel/Accessories
Ningbo Port,406.4,11769,2618,Other Transportation
Nintendo,189,21748,4399,Recreational Products
Nippon Express,243,4816,16041,Trucking
Nippon Paper Industries,81.8,2264,8440,
Nippon Steel & Sumitomo Metal,1765.5,21768,42491,Iron & Steel
Nippon Steel Trading,142.5,1104,16503,Diversified Metals & Mining
Nippon Telegraph & Tel,5552.3,94540,94232,Telecommunications services
Nippon Yusen,346.6,3743,19706,Other Transportation
Nishi-Nippon City Bank,231.4,1520,1223,Regional Banks
Nissan Motor,4721.4,42914,101018,Auto & Truck Manufacturers
Nitori Holdings,389,10845,3795,Specialty Stores
Nitto Denko,755.1,9965,6815,Diversified Chemicals
Noble,500.3,2821,3352,Oil Services & Equipment
Noble Energy,-2442,15627,3046,Oil & Gas Operations
Noble Group,-1742.8,2245,66589,Conglomerates
Nokia,2734.6,34605,14471,Communications Equipment
Nomos Bank,206.3,3139,4865,Regional Banks
Nordea Bank,4060.2,39898,16127,Regional Banks
Nordstrom,600,8921,14438,Apparel/Footwear Retail
Norfolk Southern,1628,27052,10364,Railroads
Norilsk Nickel,1662.4,23186,8463,Diversified Metals & Mining
Norsk Hydro,250.2,8521,10864,Aluminum
North Pacific Bank,128.1,1098,1039,Regional Banks
Northern Trust,969.1,16569,4850,Regional Banks
Northrop Grumman,1990,36370,23526,Aerospace & Defense
Norwegian Cruise Line Holdings,427.1,11042,4345,
Novartis,17645.4,203776,49428,Pharmaceuticals
Novatek,1213.7,27781,7754,Oil & Gas Operations
Novo Nordisk,5182.8,144893,16046,Pharmaceuticals
Novolipetsk Steel,979.9,8340,7959,Iron & Steel
Novozymes,423.2,14448,2076,Biotechs
Nucor,359.5,15753,15755,Iron & Steel
Nürnberger,79.8,831,5382,Diversified Insurance
O'Reilly Automotive,931.2,26164,7967,Specialty Stores
OMRON,386.1,6857,6996,Electronics
OMV Group,-1238.3,9562,24981,Oil & Gas Operations
ONO Pharmaceutical,135.9,27380,1164,Pharmaceuticals
OSRAM Licht,604.2,5370,6274,
OTP Bank,227.5,7138,4346,Regional Banks
Obayashi,454.9,7176,14946,Construction Services
Occidental Petroleum,-7829,57930,12580,Oil & Gas Operations
Oceanwide Holdings,321.4,7979,1767,Construction Services
Office Depot,8,3404,14485,Specialty Stores
Ogaki Kyoritsu Bank,137.6,1132,957,Regional Banks
Oi,-1477.4,179,8189,Telecommunications services
Oil & Gas Development,716.5,4901,1734,Oil & Gas Operations
Oil & Natural Gas,2998.4,27794,26088,Oil & Gas Operations
Oji Holdings,235.4,4624,11847,Paper & Paper Products
Olam International,-46.8,3538,13854,Food Processing
Old Mutual,970.2,13723,17990,Investment Services
Old Republic International,422,4782,5766,Property & Casualty Insurance
Olympus,18.1,14030,6667,Consumer Electronics
Omnicom Group,1091.9,20009,15164,Advertising
Oneok,245,7524,7709,Oil Services & Equipment
Onex,-942.1,6365,21029,Investment Services
Ooredoo Telecom,581.8,8005,8833,Telecommunications services
Oracle,8844,168899,37159,Software & Programming
Orange,2668.1,44498,44619,Telecommunications services
Orient,168.8,3616,1738,Consumer Financial Services
Orient Securities,1165.5,15098,3225,Investment Services
Oriental Bank of Commerce,-6.8,476,3442,Regional Banks
Oriental Land,615.5,25737,3871,Hotels & Motels
Origin Energy,-665.6,7301,7863,Electric Utilities
Orix,2188.1,19837,19962,Consumer Financial Services
Orkla,410.3,8502,4113,Conglomerates
Osaka Gas,851.3,7903,11710,Natural Gas Utilities
Otsuka Holding,694.3,22184,11938,Pharmaceuticals
Oversea-Chinese Banking,2838,28583,8746,Regional Banks
PBF Energy,146.4,3336,13124,Oil & Gas Operations
PG&E,888,28233,16833,Electric Utilities
PGE,-803.8,6418,7539,Electric Utilities
PKN Orlen,752.1,7717,23418,Oil & Gas Operations
PKO Bank Polski,691.8,8228,3759,Regional Banks
PLDT,484.6,8382,3758,Telecommunications services
PNC Financial Services,4017,43957,15983,Major Banks
PPG,1406,30194,15330,Diversified Chemicals
PPL,1554,24673,8891,Electric Utilities
PTT Global Chemical,598.2,8203,11772,Diversified Chemicals
PTT PCL,560.5,25270,59141,Oil & Gas Operations
PVH,572.4,7809,8020,Apparel/Accessories
PacWest Bancorp,313.8,4900,1037,Regional Banks
Paccar,1604,19856,19115,Heavy Equipment
Pacific Corp,230.1,12095,5002,
Packaging Corp of America,444.5,6190,5717,
"Palo Alto Networks,",-193.1,13125,1150,Communications Equipment
Panasonic,1646.1,22949,63330,Consumer Electronics
Pandora,546.2,14443,2488,Household/Personal Care
Pang Da Automobile Trade,37.5,2874,8591,Specialty Stores
Parker-Hannifin,842.8,15403,11882,Other Industrial Equipment
Partners Group Holding,411.2,10723,843,Investment Services
PayPal,1326,48853,9145,Consumer Financial Services
Paychex,739.9,18824,2890,Business & Personal Services
Pearson,-476.7,9799,6826,Printing & Publishing
Pegatron,749.9,5494,38222,Electronics
Pembina Pipeline,317.3,11244,3623,Oil & Gas Operations
Penske Automotive,326.1,3105,19257,Specialty Stores
Pentair,475.8,10350,6449,Other Industrial Equipment
People's Insurance Company,3120.2,18268,63241,Property & Casualty Insurance
People's United Financial,263,5000,1407,Thrifts & Mortgage Finance
PepsiCo,5162,147302,62698,Beverages
Performance Food Group,56.5,2595,15270,
Permanent TSB Group,-471.3,1452,828,Investment Services
Pernod Ricard,1063.5,28667,9864,Beverages
Perrigo,-32.9,17378,5350,Pharmaceuticals
Persimmon,797.4,8388,4433,Construction Services
Petro Rabigh,-202.2,3018,6802,Diversified Chemicals
PetroChina,5704.3,203848,274608,Oil & Gas Operations
Petrobras,-10428.9,42068,96290,Oil & Gas Operations
Petronas Chemicals,711.6,13749,3462,Specialized Chemicals
Petronas Gas,508.3,11166,1140,Natural Gas Utilities
Peugeot,996.9,12413,60631,Auto & Truck Manufacturers
Pfizer,7743,205746,48851,Pharmaceuticals
Pgnig Group,565.7,7983,9667,Oil & Gas Operations
Philip Morris International,6586,150346,26176,Tobacco
Philips,715.2,26282,26885,Conglomerates
Phillips 66,4221,46297,85174,Oil & Gas Operations
Phoenix Group Holdings,325.4,2893,1065,Life & Health Insurance
Phosagro,594.5,5709,3103,Specialized Chemicals
Ping An Insurance Group,8657.9,89974,98688,Diversified Insurance
Pinnacle West,437.3,7942,3495,Electric Utilities
Pioneer Natural Resources,-279,25063,4018,Oil & Gas Operations
Piraeus Bank,-2099,2611,3935,Regional Banks
Polaris Industries,413.7,6495,4722,Recreational Products
Poly Real Estate,1964.6,15158,19444,Real Estate
Popular,895.3,3113,2145,Regional Banks
Porsche Automobil Holding,3516.9,16556,,Auto & Truck Manufacturers
Posco,159.3,18887,48028,Iron & Steel
Poste Italiane,612.1,9638,34004,Life & Health Insurance
PotashCorp,1257.9,14959,6256,Specialized Chemicals
Pou Chen,300.2,3698,8474,Apparel/Accessories
Power Assets Holdings,997.3,21504,169,Electric Utilities
Power Corp of Canada,1436.6,11345,31494,Life & Health Insurance
Power Finance,982,3494,4096,Business & Personal Services
Power Grid of India,825.3,11496,2857,Electric Utilities
Prada,364.7,8561,3911,Apparel/Accessories
Praxair,1547,34124,10776,Specialized Chemicals
President Chain Store,259.5,7481,6471,Food Retail
Principal Financial Group,1234,12815,11912,Life & Health Insurance
ProSiebenSat1 Media,433.5,11045,3616,Broadcasting & Cable
Procter & Gamble,8446,218935,69374,Household/Personal Care
Progressive,1230.2,19210,21510,Property & Casualty Insurance
Prologis,874.3,23576,2197,Real Estate
Prosperity Bancshares,286.6,3616,785,Regional Banks
Prudential,3940.2,53392,63106,Life & Health Insurance
Prudential Financial,5587,35356,53223,Life & Health Insurance
Public Bank,1264.4,18958,4521,Regional Banks
Public Power,-113.7,821,6360,Electric Utilities
Public Service Enterprise Group,1679,22896,10196,Electric Utilities
Public Storage,1307,44489,2390,Real Estate
Publicis Groupe,999.1,16180,10647,Advertising
PulteGroup,490.9,6592,5924,Construction Services
Punjab National Bank,556,2658,8976,Regional Banks
QBE Insurance Group,675.1,12014,12858,Property & Casualty Insurance
Qantas Airways,781.9,5370,12162,Airline
Qatar Islamic Bank,555.2,6513,1042,Regional Banks
Qatar National Bank,3145.9,32698,6592,Regional Banks
Qingdao Haier,676,7522,12939,Household Appliances
Qualcomm,4907,77324,22614,Semiconductors
Quanta Computer,561.4,6466,31721,Computer Hardware
Quanta Services,310.9,3756,7601,Construction Services
Quest Diagnostics,747,10684,7517,Healthcare Services
Quinenco,147.5,3227,3316,Conglomerates
Quintiles Transnational,387.2,8370,5744,
RELX Group,1540,37155,9123,Computer Services
RHB Capital,386.6,4890,,Regional Banks
RMB Holdings,613.7,5817,32,Investment Services
RR Donnelley & Sons,151.1,3685,11257,Printing & Publishing
RSA Insurance Group,99.3,6876,10210,Property & Casualty Insurance
RWE Group,-188.5,8644,51406,Electric Utilities
Raiffeisen Bank International,419,4631,7878,Regional Banks
Rakuten,367,17000,5894,Internet & Catalog Retail
Ralph Lauren,479,7897,7419,Apparel/Accessories
Ramsay Health Care,314.4,9927,6145,Healthcare Services
Randstad Holding,575.3,9834,21313,Business & Personal Services
Raymond James Financial,493.9,7617,5350,Investment Services
Raytheon,2098,37540,23247,Aerospace & Defense
Realty Income,283.8,14877,1031,
Reckitt Benckiser Group,2663,68015,13558,Household/Personal Care
Recruit Holdings,568.5,17807,12422,Business & Personal Services
Red Eléctrica,672,11751,2150,Electric Utilities
Red Hat,199.4,13669,2052,Software & Programming
Red Star Macalline Group,652,4224,1409,Real Estate
Rede Empresas,722.3,615,2077,Electric Utilities
Regeneron Pharmaceuticals,636.1,42374,4104,Biotechs
Regions Financial,1101,11908,5695,Major Banks
Reinsurance Group of America,502.2,6219,10579,Diversified Insurance
Reliance Industries,4220.2,50589,42239,Oil & Gas Operations
Reliance Steel,302.4,5185,8899,Iron & Steel
Remgro,606.2,9293,2092,Conglomerates
Renault,3130.5,29032,50264,Auto & Truck Manufacturers
Renesas Electronics,702.5,10095,5846,Semiconductors
Repsol,-1376.2,18362,44065,Oil & Gas Operations
Republic Services,750,15769,9115,Environmental & Waste
ResMed,349.4,8503,1742,Medical Equipment & Supplies
Resona Holdings,1242,9056,6081,Regional Banks
Restaurant Brands International,512.9,9212,4051,Restaurants
Rexel,85.3,4322,15084,Electronics
Reynolds American,3253,68310,10675,Tobacco
Richemont,1723.5,37578,12352,Specialty Stores
Ricoh,558.6,7973,18552,Business Products & Supplies
Rio Tinto,-858.2,62821,34835,Diversified Metals & Mining
RiseSun Real Estate Development,457.7,4741,3695,
Rite Aid,165.5,8414,30737,Drug Retail
Riyad Bank,1080.3,8887,1992,Regional Banks
Roche Holding,9204.7,222178,50001,Pharmaceuticals
Rockwell Automation,798,15128,6167,Other Industrial Equipment
Rockwell Collins,668,11719,5157,Aerospace & Defense
Rogers Communications,1047.3,19847,10278,Telecommunications services
Rolls-Royce Holdings,126.8,18126,20969,Aerospace & Defense
Roper Industries,696.1,18053,3582,Other Industrial Equipment
Rosneft,5791.2,51119,80751,Oil & Gas Operations
Ross Stores,1020.7,22770,11940,Apparel/Footwear Retail
Royal Ahold,942.6,17531,42364,Food Retail
Royal Bank of Canada,7650.5,90722,33090,Major Banks
Royal Bank of Scotland,-2403.2,42437,25814,Major Banks
Royal Caribbean Cruises,665.8,15936,8299,Hotels & Motels
Royal Dutch Shell,2075.1,209987,264871,Oil & Gas Operations
Royal Mail,444.8,6954,14205,Air Courier
Rural Electrification,874.1,2546,3361,Electric Utilities
RusHydro,514.5,4011,5669,Electric Utilities
Ryanair Holdings,1698,18734,7046,Airline
Ryder System,304,3607,6572,Rental & Leasing
S-Oil,737.2,9074,14650,Oil & Gas Operations
SABMiller,2965.7,98985,20752,Beverages
SAIC Motor,4616.5,34437,101922,Auto & Truck Manufacturers
SAP,3561.6,98375,23208,Software & Programming
SBA Communications,-175.6,13005,1638,Telecommunications services
SBI Holdings,251.8,2534,2016,Investment Services
SCA,830,21220,13669,Household/Personal Care
SCANA,746,9508,4380,Electric Utilities
SDIC Power Holdings,863.5,6678,4901,Electric Utilities
SEB,1965.4,21724,8149,Regional Banks
SEIBU,266,7499,4142,
SES,604,9567,2234,Broadcasting & Cable
SGS,570.2,17104,5932,Business & Personal Services
SINOPEC Engineering (Group),528.2,3910,7235,
SK Holdings,4723.4,13818,34962,Oil & Gas Operations
SK Hynix,3819,17513,16609,Semiconductors
SK Innovation,720,12962,42725,Oil & Gas Operations
SK Networks,64.9,1431,17985,Trading Companies
SK Telecom,1326.9,14155,15141,Telecommunications services
SKF Group,459.9,8257,9008,Other Industrial Equipment
SL Green Realty,271.5,10531,1741,Real Estate
SM Investments,624.9,16446,6185,Department Stores
SMC,855.3,17322,3948,Other Industrial Equipment
SNC-Lavalin Group,316,5581,7371,Construction Services
SSE,748.2,21520,51074,Electric Utilities
ST Engineering,384.7,7803,4606,Aerospace & Defense
STRABAG,196.9,3388,14962,Construction Services
SVB Financial Group,334.6,5533,1491,Regional Banks
SYNNEX,206.4,3300,13262,Computer Services
Sabanci Holding,787.2,7330,11354,Conglomerates
Sabre,545.5,7721,2961,Computer Services
Safran,-937,28452,20071,Aerospace & Defense
Saint-Gobain,1444.9,25629,43939,Construction Materials
Salesforce.com,-47.4,51887,6667,Software & Programming
Samba Financial Group,1384.9,11402,2250,Regional Banks
Sampo,1836.4,25437,7423,Diversified Insurance
Samsung Electronics,16517.6,161550,177286,Semiconductors
Samsung Fire & Marine,716.8,12241,16915,Property & Casualty Insurance
Samsung Heavy Industries,-1065,2063,8583,Heavy Equipment
Samsung Life Insurance,1070.2,19488,22429,Life & Health Insurance
Samsung SDI,47.6,6820,6688,Electronics
Samsung SDS,387.9,10995,6939,Computer Services
San-In Godo Bank,101.4,1084,726,Regional Banks
SanDisk,388.5,15175,5565,Computer Storage Devices
Sandvik,266.4,13394,10480,Other Industrial Equipment
Sanlam,734.8,10465,6582,Life & Health Insurance
Sanmina-SCI,381.7,1700,6238,Electronics
Sanofi,4753.9,115374,40473,Pharmaceuticals
Saputo,481.4,12528,8419,Food Processing
Sasol,1368,20870,13294,Diversified Chemicals
Saudi Arabian Fertilizers,486.9,7194,873,Specialized Chemicals
Saudi Arabian Mining,136.8,10260,2796,Diversified Metals & Mining
Saudi Basic Industries,5007.6,63468,39766,Diversified Chemicals
Saudi British Bank,1161.7,9323,1905,Regional Banks
Saudi Electricity,401.9,18787,11050,Electric Utilities
Saudi Hollandi Bank,531.9,3915,1147,Regional Banks
Saudi Investment Bank,312.5,2441,875,Investment Services
Saudi Telecom,2488.5,32648,13552,Telecommunications services
Savola Group,477.6,5689,7054,Food Processing
Sberbank,3636,39195,42563,Regional Banks
Scentre Group,2031.9,18590,2152,
Schaeffler,655.4,10234,14667,Auto & Truck Parts
Schindler Holding,775.8,20392,9753,Other Industrial Equipment
Schlumberger,1598,111135,31746,Oil Services & Equipment
Schneider Electric,1560.2,39281,29542,Electrical Equipment
Schroders,714.1,9955,3177,Investment Services
Scor,711.9,7150,14881,Diversified Insurance
Scripps Networks Interactive,606.8,8382,3018,Broadcasting & Cable
Seadrill,-739,1986,4335,Oil Services & Equipment
Seagate Technology,628,7505,12168,Computer Storage Devices
Sealed Air,333.2,10226,7032,Containers & Packaging
Sears Holdings,-1129,1935,25146,Discount Stores
Secom,640.3,18061,7135,Security Systems
Securitas,288.8,5955,9585,Business & Personal Services
Segro,1042.7,4389,380,Real Estate
Seiko Epson,636.5,6197,9160,Business Products & Supplies
Sekisui Chemical,409.4,6731,9090,Construction Services
Sekisui House,696.3,13018,15354,Construction Services
Sembcorp Industries,378.8,3964,6940,Construction Services
Sempra Energy,1350,25214,10188,Natural Gas Utilities
Senshu Ikeda Holdings,149.8,1098,865,Regional Banks
Seven & I Holdings,1333,37586,40548,Food Retail
Severstal,545.8,10363,6345,Iron & Steel
Shaanxi Coal Industry,-285.6,7115,5876,Diversified Metals & Mining
Shaftesbury,721.7,3593,153,Real Estate
Shanghai Chengtou Holding,574.7,6814,1181,Diversified Utilities
Shanghai Commercial & Savings Bank,374.7,3541,1358,Regional Banks
Shanghai Construction,298.4,4706,19508,Construction Services
Shanghai Electric Group,340,14036,12325,Heavy Equipment
Shanghai Industrial Holdings,357.3,2534,2540,Real Estate
Shanghai International Airport,402.8,8402,979,Other Transportation
Shanghai International Port,1044.1,17916,4656,Other Transportation
Shanghai Pharmaceuticals,458.2,6648,16748,Drug Retail
Shanghai Pudong Development,8051.4,55209,41393,Regional Banks
Shanghai RAAS Blood Products,229.5,15806,319,Biotechs
Shanxi Taigang Stainless,-140.9,3053,11279,Iron & Steel
Sharp,-2672.2,2199,21797,Consumer Electronics
Shaw Communications,648.2,8969,4080,Broadcasting & Cable
Shengjing Bank,988.8,8415,5386,Regional Banks
Shenwan Hongyuan Group,1699.2,19014,1773,Major Banks
Shenzhen Overseas,715.4,8568,4116,Hotels & Motels
