name,profits,marketValue,revenue,industry
Banco do Brasil,4310.8,17022,65553,Regional Banks
Bancolombia,916.1,8964,5601,Regional Banks
Bangkok Bank,945.2,8880,4382,Regional Banks
Bank Aljazira,384.2,1489,789,Regional Banks
Bank Audi,395.5,2336,2959,Regional Banks
Bank Central Asia,1344.9,24520,4411,Regional Banks
Bank Hapoalim,793.3,6953,4095,Regional Banks
Bank Leumi,726.9,5702,3813,Regional Banks
Bank Mandiri,1517.8,17636,7512,Regional Banks
Bank Muscat,456.9,2594,1346,Regional Banks
Bank Negara Indonesia,679.5,6917,3625,Regional Banks
Bank Rakyat Indonesia,1895.7,20375,7128,Regional Banks
Bank of America,15844,156021,91496,Major Banks
Bank of Baroda,639.8,5602,8237,Regional Banks
Bank of Beijing,2758.5,19966,13597,Regional Banks
Bank of China,27209.5,143002,122027,Major Banks
Bank of Chongqing,505.8,2512,2733,Regional Banks
Bank of Communications,10601.5,55652,56985,Regional Banks
Bank of East Asia,643.8,10066,3861,Regional Banks
Bank of Greece,1289.5,218,2170,Regional Banks
Bank of India,329.2,1197,7844,Regional Banks
Bank of Ireland,1042.4,9375,4840,Regional Banks
Bank of Jinzhou,776.3,4915,3591,Regional Banks
Bank of Kyoto,171.5,2780,901,Regional Banks
Bank of Montreal,3428.4,41789,18232,Major Banks
Bank of Nagoya,62.2,684,498,Regional Banks
Bank of Nanjing,1064.8,8320,6313,Regional Banks
Bank of New York Mellon,3161,44181,15429,Major Banks
Bank of Ningbo,1022.5,8096,5485,Regional Banks
Bank of Nova Scotia,5471.9,61737,24395,Major Banks
Bank of Qingdao,289.2,2512,1514,Regional Banks
Bank of Queensland,246.8,3493,1757,Regional Banks
Bank of Tianjin,716.9,1661,4136,Regional Banks
Bank of Yokohama,646.2,5774,2565,Regional Banks
Bank of Zhengzhou,534.4,2943,2161,Regional Banks
Bankia,1154.4,11574,4452,Regional Banks
Bankinter,408.1,6859,2209,Regional Banks
Banque Centrale Populaire,257.4,4110,2114,Regional Banks
Banque Saudi Fransi,1083.5,8408,1856,Regional Banks
Banque nationale de Belgique,902.8,1343,1742,Regional Banks
Baoshan Iron & Steel,161.1,14456,26038,Iron & Steel
Barclays,-495,41774,38889,Major Banks
Barratt Developments,796,7425,6201,Construction Services
Barrick Gold,-2960,18799,9090,Diversified Metals & Mining
Barwa Real Estate,839.4,3654,1278,Real Estate
Bashneft,949,6420,9868,Oil & Gas Operations
Basler Kantonalbank,113.2,2072,804,Regional Banks
Baxalta,928,28266,6148,
Baxter International,968,23834,12747,Medical Equipment & Supplies
BayWa,53.5,1195,16465,Specialty Stores
Bayer,4510,102527,51634,Diversified Chemicals
Becton Dickinson,688,33865,11216,Medical Equipment & Supplies
Bed Bath & Beyond,841.5,8039,12104,Specialty Stores
Beiersdorf,731.9,20226,7414,Household/Personal Care
Beijing Capital Development,321.7,3601,2990,Real Estate
Beijing Enterprises,731,6839,7759,Natural Gas Utilities
Belgacom,534.5,11505,6591,Telecommunications services
Belle International Holdings,781.3,5306,6580,Apparel/Footwear Retail
Bendigo & Adelaide Bank,304.1,3328,2383,Regional Banks
Berkeley Group Holdings,630,5766,3440,Construction Services
Berkshire Hathaway,24083,360145,210821,Investment Services
BesTV New Media,442.8,10890,2662,
Best Buy,897,10742,39528,Computer & Electronics Retail
Bharat Petroleum,786.1,10492,38355,Oil & Gas Operations
Bharti Airtel,849.1,21214,14739,Telecommunications services
Bidvest Group,482,8358,15090,Conglomerates
BioMarin Pharmaceutical,-171.8,15157,877,Biotechs
Biogen Idec,3547,61926,10858,Biotechs
BlackRock,3180,60366,11299,Investment Services
Blom Bank,387.7,2150,1808,Regional Banks
Boeing,5172,85321,96114,Aerospace & Defense
Bohai Financial Investment Holding,207.6,6496,1524,Rental & Leasing
Bolsas & Mercados,192.4,2844,376,Investment Services
Bombardier,-5495.5,3037,18174,Aerospace & Defense
BorgWarner,609.7,8397,8024,Auto & Truck Parts
Boston Properties,582.7,19876,2489,Real Estate
Boston Scientific,-239,26759,7477,Medical Equipment & Supplies
Bouygues,446.9,11726,35960,Construction Services
Brait,3328.6,5808,3403,
Brambles,589.2,15329,5421,Business & Personal Services
Braskem,940.1,5158,14155,Specialized Chemicals
Brenntag,404.8,8819,11473,Specialized Chemicals
Bridgestone,2348.3,30893,31308,Auto & Truck Parts
Bristol-Myers Squibb,1624,118221,16560,Pharmaceuticals
British American Tobacco,6554.3,111042,20020,Tobacco
British Land,2359.7,10161,786,Real Estate
British Sky Broadcasting,959.5,23858,17425,Broadcasting & Cable
Broadcom,1390,58696,6960,Semiconductors
Brookfield Asset Management,2330.2,33378,20094,Real Estate
Brown-Forman,686,19259,3047,Beverages
Bunge,772,8382,43455,Food Processing
Bunzl,355.5,9996,9915,Business & Personal Services
Burberry Group,542.5,8005,3904,Apparel/Accessories
Bâloise Group,531.8,6253,9183,Diversified Insurance
C.H. Robinson Worldwide,509.7,10895,13476,Other Transportation
CA,752,12578,4039,Software & Programming
CBRE Group,547.1,10201,10856,Real Estate
CBS,1413,25707,13886,Broadcasting & Cable
CDW,403.1,6984,12989,
CEZ Group,843.1,9769,8405,Electric Utilities
CF Industries Holdings,699.9,7748,4308,Specialized Chemicals
CGI Group,765.2,14480,8152,Computer Services
CGN Power,1050,15352,3849,Diversified Utilities
CIC Group,1232,7393,12331,Regional Banks
CIMB Group Holdings,728.8,10740,5902,Regional Banks
CIT Group,1056.6,6860,3966,Consumer Financial Services
CJ Cheiljedang,167.2,4248,11419,Food Processing
CJ Corp,181.8,5401,18702,Food Processing
CK Hutchison,5896.2,48218,21510,Conglomerates
CLP Holdings,2021.3,23615,10409,Electric Utilities
CME Group,1247,31899,3330,Investment Services
CMS Energy,523,11011,6456,Electric Utilities
CNH Industrial,236,10093,26378,Heavy Equipment
